month,rainfall_avg,rainfall_std,rainfall_nasa_avg,rainfall_nasa_std,rainfall_openmeteo_avg,rainfall_openmeteo_std,temp_avg,temp_std,ndvi_avg,ndvi_std
1,7.456,8.382,7.167,9.248,7.456,8.382,19.967,1.247,0.443,0.053
2,4.838,8.586,5.76,10.129,4.838,8.586,20.32,1.317,0.447,0.091
3,1.313,2.724,2.095,3.676,1.313,2.724,19.798,1.414,0.432,0.052
4,1.438,4.439,1.424,3.298,1.438,4.439,18.683,1.577,0.389,0.04
5,0.108,0.613,0.204,0.653,0.108,0.613,16.412,1.573,0.328,0.036
6,0.132,0.743,0.17,0.434,0.132,0.743,14.661,1.935,0.27,0.02
7,0.025,0.166,0.09,0.222,0.025,0.166,14.195,1.95,0.236,0.02
8,0.017,0.108,0.063,0.192,0.017,0.108,16.727,2.154,0.216,0.012
9,0.056,0.369,0.284,1.342,0.056,0.369,19.946,2.453,0.21,0.012
10,0.96,3.824,1.009,3.054,0.96,3.824,21.308,2.112,0.219,0.021
11,4.233,6.658,3.448,5.511,4.233,6.658,21.424,2.112,0.284,0.044
12,5.118,7.924,6.032,8.815,5.118,7.924,20.971,1.916,0.386,0.063
